example_id                                          | status  | run_time               |
./spec/rescue_catch_spec.rb[1:2]                    | passed  | 0.00481 seconds        |
./spec/rescue_catch_spec.rb[1:3]                    | passed  | 0.00439 seconds        |
./spec/rescue_catch_spec.rb[1:4]                    | passed  | 0.00538 seconds        |
./spec/retain_by_default_spec.rb[1:1]               | passed  | 0.00913 seconds        |
./spec/retain_by_default_spec.rb[1:2]               | passed  | 0.00679 seconds        |
./spec/retain_by_default_spec.rb[1:3]               | passed  | 0.00677 seconds        |
./spec/retain_by_default_spec.rb[1:4]               | passed  | 0.00762 seconds        |
./spec/retain_by_default_spec.rb[1:5]               | passed  | 0.00946 seconds        |
./spec/retain_by_default_spec.rb[1:6]               | passed  | 0.00847 seconds        |
./spec/retain_by_default_spec.rb[1:7]               | passed  | 0.01276 seconds        |
./spec/retain_by_default_spec.rb[1:8]               | passed  | 0.01273 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:1]   | passed  | 0.00485 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:2]   | passed  | 0.00622 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:3]   | passed  | 0.00289 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:4]   | passed  | 0.01103 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:5]   | passed  | 0.00408 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:6]   | passed  | 0.00742 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:7]   | passed  | 0.00659 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:8]   | passed  | 0.00823 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:9]   | passed  | 0.00777 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:10]  | passed  | 0.10287 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:11]  | passed  | 0.00669 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:12]  | passed  | 0.0049 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:13]  | passed  | 0.01324 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:14]  | passed  | 0.00529 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:15]  | passed  | 0.00496 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:16]  | passed  | 0.0985 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:17]  | passed  | 0.00765 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:18]  | passed  | 0.0076 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:19]  | passed  | 0.01071 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:20]  | passed  | 0.00465 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:21]  | passed  | 0.00457 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:22]  | passed  | 0.00489 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:23]  | passed  | 0.00887 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:24]  | passed  | 0.00706 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:25]  | passed  | 0.00457 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:26]  | passed  | 0.00458 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:27]  | passed  | 0.00746 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:28]  | passed  | 0.00891 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:29]  | passed  | 0.0069 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:30]  | passed  | 0.0075 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:31]  | passed  | 0.00914 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:32]  | passed  | 0.13198 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:33]  | passed  | 0.00656 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:34]  | passed  | 0.00828 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:35]  | passed  | 0.00792 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:36]  | passed  | 0.00504 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:37]  | passed  | 0.00828 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:38]  | passed  | 0.0074 seconds         |
./spec/self_host_nonownership_shrink_spec.rb[1:39]  | passed  | 0.00456 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:40]  | passed  | 0.22136 seconds        |
./spec/self_host_nonownership_shrink_spec.rb[1:41]  | passed  | 0.00555 seconds        |
